sample_id,measured_at,quality_feature,measurement_value,target,usl,lsl,machine_id,cavity_id,shift,material_lot,tool_id,tool_cycles
S-0001,2026-08-13T08:00,outer_diameter,19.996,20.000,20.040,19.960,M01,1,DAY,LOT-A,T-M01-1,2640
S-0002,2026-08-13T08:05,outer_diameter,20.002,20.000,20.040,19.960,M01,2,DAY,LOT-A,T-M01-2,2990
S-0003,2026-08-13T08:10,outer_diameter,19.996,20.000,20.040,19.960,M01,3,DAY,LOT-A,T-M01-3,3340
S-0004,2026-08-13T08:15,outer_diameter,20.002,20.000,20.040,19.960,M01,4,DAY,LOT-A,T-M01-4,3690
S-0005,2026-08-13T08:20,outer_diameter,20.002,20.000,20.040,19.960,M02,1,DAY,LOT-A,T-M02-1,3040
S-0006,2026-08-13T08:25,outer_diameter,19.996,20.000,20.040,19.960,M02,2,DAY,LOT-A,T-M02-2,3390
S-0007,2026-08-13T08:30,outer_diameter,20.002,20.000,20.040,19.960,M02,3,DAY,LOT-A,T-M02-3,3740
S-0008,2026-08-13T08:35,outer_diameter,19.996,20.000,20.040,19.960,M02,4,DAY,LOT-A,T-M02-4,8480
S-0009,2026-08-13T08:40,outer_diameter,19.996,20.000,20.040,19.960,M01,1,DAY,LOT-B,T-M01-1,2680
S-0010,2026-08-13T08:45,outer_diameter,20.002,20.000,20.040,19.960,M01,2,DAY,LOT-B,T-M01-2,3030
S-0011,2026-08-13T08:50,outer_diameter,19.996,20.000,20.040,19.960,M01,3,DAY,LOT-B,T-M01-3,3380
S-0012,2026-08-13T08:55,outer_diameter,20.002,20.000,20.040,19.960,M01,4,DAY,LOT-B,T-M01-4,3730
S-0013,2026-08-13T09:00,outer_diameter,20.002,20.000,20.040,19.960,M02,1,DAY,LOT-B,T-M02-1,3080
S-0014,2026-08-13T09:05,outer_diameter,19.996,20.000,20.040,19.960,M02,2,DAY,LOT-B,T-M02-2,3430
S-0015,2026-08-13T09:10,outer_diameter,20.002,20.000,20.040,19.960,M02,3,DAY,LOT-B,T-M02-3,3780
S-0016,2026-08-13T09:15,outer_diameter,19.996,20.000,20.040,19.960,M02,4,DAY,LOT-B,T-M02-4,8560
S-0017,2026-08-13T09:20,outer_diameter,19.996,20.000,20.040,19.960,M01,1,DAY,LOT-A,T-M01-1,2720
S-0018,2026-08-13T09:25,outer_diameter,20.002,20.000,20.040,19.960,M01,2,DAY,LOT-A,T-M01-2,3070
S-0019,2026-08-13T09:30,outer_diameter,19.996,20.000,20.040,19.960,M01,3,DAY,LOT-A,T-M01-3,3420
S-0020,2026-08-13T09:35,outer_diameter,20.002,20.000,20.040,19.960,M01,4,DAY,LOT-A,T-M01-4,3770
S-0021,2026-08-13T09:40,outer_diameter,20.002,20.000,20.040,19.960,M02,1,DAY,LOT-A,T-M02-1,3120
S-0022,2026-08-13T09:45,outer_diameter,19.996,20.000,20.040,19.960,M02,2,DAY,LOT-A,T-M02-2,3470
S-0023,2026-08-13T09:50,outer_diameter,20.002,20.000,20.040,19.960,M02,3,DAY,LOT-A,T-M02-3,3820
S-0024,2026-08-13T09:55,outer_diameter,19.996,20.000,20.040,19.960,M02,4,DAY,LOT-A,T-M02-4,8640
S-0025,2026-08-13T10:00,outer_diameter,19.996,20.000,20.040,19.960,M01,1,DAY,LOT-B,T-M01-1,2760
S-0026,2026-08-13T10:05,outer_diameter,20.002,20.000,20.040,19.960,M01,2,DAY,LOT-B,T-M01-2,3110
S-0027,2026-08-13T10:10,outer_diameter,19.996,20.000,20.040,19.960,M01,3,DAY,LOT-B,T-M01-3,3460
S-0028,2026-08-13T10:15,outer_diameter,20.002,20.000,20.040,19.960,M01,4,DAY,LOT-B,T-M01-4,3810
S-0029,2026-08-13T10:20,outer_diameter,20.002,20.000,20.040,19.960,M02,1,DAY,LOT-B,T-M02-1,3160
S-0030,2026-08-13T10:25,outer_diameter,19.996,20.000,20.040,19.960,M02,2,DAY,LOT-B,T-M02-2,3510
S-0031,2026-08-13T10:30,outer_diameter,20.002,20.000,20.040,19.960,M02,3,DAY,LOT-B,T-M02-3,3860
S-0032,2026-08-13T10:35,outer_diameter,19.996,20.000,20.040,19.960,M02,4,DAY,LOT-B,T-M02-4,8720
S-0033,2026-08-13T10:40,outer_diameter,20.002,20.000,20.040,19.960,M01,1,DAY,LOT-A,T-M01-1,2800
S-0034,2026-08-13T10:45,outer_diameter,20.008,20.000,20.040,19.960,M01,2,DAY,LOT-A,T-M01-2,3150
S-0035,2026-08-13T10:50,outer_diameter,20.002,20.000,20.040,19.960,M01,3,DAY,LOT-A,T-M01-3,3500
S-0036,2026-08-13T10:55,outer_diameter,20.008,20.000,20.040,19.960,M01,4,DAY,LOT-A,T-M01-4,3850
S-0037,2026-08-13T11:00,outer_diameter,20.008,20.000,20.040,19.960,M02,1,DAY,LOT-A,T-M02-1,3200
S-0038,2026-08-13T11:05,outer_diameter,20.002,20.000,20.040,19.960,M02,2,DAY,LOT-A,T-M02-2,3550
S-0039,2026-08-13T11:10,outer_diameter,20.008,20.000,20.040,19.960,M02,3,DAY,LOT-A,T-M02-3,3900
S-0040,2026-08-13T11:15,outer_diameter,20.045,20.000,20.040,19.960,M02,4,DAY,LOT-A,T-M02-4,8800
S-0041,2026-08-13T11:20,outer_diameter,20.002,20.000,20.040,19.960,M01,1,DAY,LOT-B,T-M01-1,2840
S-0042,2026-08-13T11:25,outer_diameter,20.008,20.000,20.040,19.960,M01,2,DAY,LOT-B,T-M01-2,3190
S-0043,2026-08-13T11:30,outer_diameter,20.002,20.000,20.040,19.960,M01,3,DAY,LOT-B,T-M01-3,3540
S-0044,2026-08-13T11:35,outer_diameter,20.008,20.000,20.040,19.960,M01,4,DAY,LOT-B,T-M01-4,3890
S-0045,2026-08-13T11:40,outer_diameter,20.008,20.000,20.040,19.960,M02,1,DAY,LOT-B,T-M02-1,3240
S-0046,2026-08-13T11:45,outer_diameter,20.002,20.000,20.040,19.960,M02,2,DAY,LOT-B,T-M02-2,3590
S-0047,2026-08-13T11:50,outer_diameter,20.008,20.000,20.040,19.960,M02,3,DAY,LOT-B,T-M02-3,3940
S-0048,2026-08-13T11:55,outer_diameter,20.045,20.000,20.040,19.960,M02,4,DAY,LOT-B,T-M02-4,8880
S-0049,2026-08-13T12:00,outer_diameter,20.002,20.000,20.040,19.960,M01,1,NIGHT,LOT-A,T-M01-1,2880
S-0050,2026-08-13T12:05,outer_diameter,20.008,20.000,20.040,19.960,M01,2,NIGHT,LOT-A,T-M01-2,3230
S-0051,2026-08-13T12:10,outer_diameter,20.002,20.000,20.040,19.960,M01,3,NIGHT,LOT-A,T-M01-3,3580
S-0052,2026-08-13T12:15,outer_diameter,20.008,20.000,20.040,19.960,M01,4,NIGHT,LOT-A,T-M01-4,3930
S-0053,2026-08-13T12:20,outer_diameter,20.008,20.000,20.040,19.960,M02,1,NIGHT,LOT-A,T-M02-1,3280
S-0054,2026-08-13T12:25,outer_diameter,20.002,20.000,20.040,19.960,M02,2,NIGHT,LOT-A,T-M02-2,3630
S-0055,2026-08-13T12:30,outer_diameter,20.008,20.000,20.040,19.960,M02,3,NIGHT,LOT-A,T-M02-3,3980
S-0056,2026-08-13T12:35,outer_diameter,20.045,20.000,20.040,19.960,M02,4,NIGHT,LOT-A,T-M02-4,8960
S-0057,2026-08-13T12:40,outer_diameter,20.002,20.000,20.040,19.960,M01,1,NIGHT,LOT-B,T-M01-1,2920
S-0058,2026-08-13T12:45,outer_diameter,20.008,20.000,20.040,19.960,M01,2,NIGHT,LOT-B,T-M01-2,3270
S-0059,2026-08-13T12:50,outer_diameter,20.002,20.000,20.040,19.960,M01,3,NIGHT,LOT-B,T-M01-3,3620
S-0060,2026-08-13T12:55,outer_diameter,20.008,20.000,20.040,19.960,M01,4,NIGHT,LOT-B,T-M01-4,3970
S-0061,2026-08-13T13:00,outer_diameter,20.008,20.000,20.040,19.960,M02,1,NIGHT,LOT-B,T-M02-1,3320
S-0062,2026-08-13T13:05,outer_diameter,20.002,20.000,20.040,19.960,M02,2,NIGHT,LOT-B,T-M02-2,3670
S-0063,2026-08-13T13:10,outer_diameter,20.008,20.000,20.040,19.960,M02,3,NIGHT,LOT-B,T-M02-3,4020
S-0064,2026-08-13T13:15,outer_diameter,20.045,20.000,20.040,19.960,M02,4,NIGHT,LOT-B,T-M02-4,9040
S-0065,2026-08-13T13:20,outer_diameter,20.002,20.000,20.040,19.960,M01,1,NIGHT,LOT-A,T-M01-1,2960
S-0066,2026-08-13T13:25,outer_diameter,20.008,20.000,20.040,19.960,M01,2,NIGHT,LOT-A,T-M01-2,3310
S-0067,2026-08-13T13:30,outer_diameter,20.002,20.000,20.040,19.960,M01,3,NIGHT,LOT-A,T-M01-3,3660
S-0068,2026-08-13T13:35,outer_diameter,20.008,20.000,20.040,19.960,M01,4,NIGHT,LOT-A,T-M01-4,4010
S-0069,2026-08-13T13:40,outer_diameter,20.008,20.000,20.040,19.960,M02,1,NIGHT,LOT-A,T-M02-1,3360
S-0070,2026-08-13T13:45,outer_diameter,20.002,20.000,20.040,19.960,M02,2,NIGHT,LOT-A,T-M02-2,3710
S-0071,2026-08-13T13:50,outer_diameter,20.008,20.000,20.040,19.960,M02,3,NIGHT,LOT-A,T-M02-3,4060
S-0072,2026-08-13T13:55,outer_diameter,20.045,20.000,20.040,19.960,M02,4,NIGHT,LOT-A,T-M02-4,9120
S-0073,2026-08-13T14:00,outer_diameter,20.002,20.000,20.040,19.960,M01,1,NIGHT,LOT-B,T-M01-1,3000
S-0074,2026-08-13T14:05,outer_diameter,20.008,20.000,20.040,19.960,M01,2,NIGHT,LOT-B,T-M01-2,3350
S-0075,2026-08-13T14:10,outer_diameter,20.002,20.000,20.040,19.960,M01,3,NIGHT,LOT-B,T-M01-3,3700
S-0076,2026-08-13T14:15,outer_diameter,20.008,20.000,20.040,19.960,M01,4,NIGHT,LOT-B,T-M01-4,4050
S-0077,2026-08-13T14:20,outer_diameter,20.008,20.000,20.040,19.960,M02,1,NIGHT,LOT-B,T-M02-1,3400
S-0078,2026-08-13T14:25,outer_diameter,20.002,20.000,20.040,19.960,M02,2,NIGHT,LOT-B,T-M02-2,3750
S-0079,2026-08-13T14:30,outer_diameter,20.008,20.000,20.040,19.960,M02,3,NIGHT,LOT-B,T-M02-3,4100
S-0080,2026-08-13T14:35,outer_diameter,20.045,20.000,20.040,19.960,M02,4,NIGHT,LOT-B,T-M02-4,9200
S-0081,2026-08-13T14:40,outer_diameter,20.002,20.000,20.040,19.960,M01,1,NIGHT,LOT-A,T-M01-1,3040
S-0082,2026-08-13T14:45,outer_diameter,20.008,20.000,20.040,19.960,M01,2,NIGHT,LOT-A,T-M01-2,3390
S-0083,2026-08-13T14:50,outer_diameter,20.002,20.000,20.040,19.960,M01,3,NIGHT,LOT-A,T-M01-3,3740
S-0084,2026-08-13T14:55,outer_diameter,20.008,20.000,20.040,19.960,M01,4,NIGHT,LOT-A,T-M01-4,4090
S-0085,2026-08-13T15:00,outer_diameter,20.008,20.000,20.040,19.960,M02,1,NIGHT,LOT-A,T-M02-1,3440
S-0086,2026-08-13T15:05,outer_diameter,20.002,20.000,20.040,19.960,M02,2,NIGHT,LOT-A,T-M02-2,3790
S-0087,2026-08-13T15:10,outer_diameter,20.008,20.000,20.040,19.960,M02,3,NIGHT,LOT-A,T-M02-3,4140
S-0088,2026-08-13T15:15,outer_diameter,20.045,20.000,20.040,19.960,M02,4,NIGHT,LOT-A,T-M02-4,9280
S-0089,2026-08-13T15:20,outer_diameter,20.002,20.000,20.040,19.960,M01,1,NIGHT,LOT-B,T-M01-1,3080
S-0090,2026-08-13T15:25,outer_diameter,20.008,20.000,20.040,19.960,M01,2,NIGHT,LOT-B,T-M01-2,3430
S-0091,2026-08-13T15:30,outer_diameter,20.002,20.000,20.040,19.960,M01,3,NIGHT,LOT-B,T-M01-3,3780
S-0092,2026-08-13T15:35,outer_diameter,20.008,20.000,20.040,19.960,M01,4,NIGHT,LOT-B,T-M01-4,4130
S-0093,2026-08-13T15:40,outer_diameter,20.008,20.000,20.040,19.960,M02,1,NIGHT,LOT-B,T-M02-1,3480
S-0094,2026-08-13T15:45,outer_diameter,20.002,20.000,20.040,19.960,M02,2,NIGHT,LOT-B,T-M02-2,3830
S-0095,2026-08-13T15:50,outer_diameter,20.008,20.000,20.040,19.960,M02,3,NIGHT,LOT-B,T-M02-3,4180
S-0096,2026-08-13T15:55,outer_diameter,20.045,20.000,20.040,19.960,M02,4,NIGHT,LOT-B,T-M02-4,9360
